customer_id,signup_date,age,monthly_fee,signup_year_month,country_DE,country_ES,country_FR,country_IT,country_NL,gender_F,gender_M,gender_X,plan_type_basic,plan_type_gold,plan_type_premium
C100000,2022-01-31,58.0,16.51,2022-01,False,True,False,False,False,True,False,False,True,False,False
C100001,2022-12-30,56.0,8.99,2022-12,False,True,False,False,False,False,False,False,False,False,True
C100002,2021-10-05,19.0,43.68,2021-10,False,False,False,False,True,False,True,False,False,False,True
C100003,2022-07-18,,27.14,2022-07,False,True,False,False,False,False,False,False,True,False,False
C100004,2022-02-04,46.0,55.6,2022-02,True,False,False,False,False,False,True,False,True,False,False
C100005,2021-12-31,68.0,40.76,2021-12,False,False,True,False,False,False,False,False,False,True,False
C100006,2023-09-21,27.0,9.97,2023-09,False,False,True,False,False,False,True,False,False,True,False
C100007,2021-11-10,31.0,57.13,2021-11,False,False,True,False,False,False,True,False,True,False,False
C100008,2023-06-27,68.0,19.22,2023-06,False,True,False,False,False,False,True,False,False,False,False
C100009,2019-02-05,56.0,23.55,2019-02,False,False,False,True,False,True,False,False,False,False,False
C100010,2020-04-11,45.0,27.12,2020-04,False,False,True,False,False,True,False,False,False,False,True
C100011,2022-05-23,20.0,7.82,2022-05,False,True,False,False,False,False,False,False,False,False,False
C100012,2019-11-27,44.0,32.31,2019-11,False,False,False,True,False,False,True,False,False,False,True
C100013,2023-01-22,19.0,11.78,2023-01,False,False,True,False,False,False,False,True,False,False,True
C100014,2019-03-29,55.0,27.05,2019-03,False,False,False,False,True,False,False,False,False,False,False
C100015,2022-10-28,20.0,24.29,2022-10,False,True,False,False,False,False,True,False,True,False,False
C100016,2022-01-28,33.0,47.51,2022-01,False,False,True,False,False,False,True,False,False,False,False
C100017,2021-05-21,57.0,49.17,2021-05,False,False,False,True,False,True,False,False,False,False,True
C100018,2023-08-15,19.0,13.44,2023-08,False,True,False,False,False,False,False,False,False,False,False
C100019,2019-05-11,58.0,25.16,2019-05,False,True,False,False,False,False,True,False,False,True,False
C100020,2023-08-13,29.0,25.53,2023-08,False,True,False,False,False,False,True,False,False,False,True
C100021,2022-08-25,52.0,13.33,2022-08,False,True,False,False,False,False,False,False,False,False,False
C100022,2021-02-08,,48.91,2021-02,False,False,False,True,False,False,False,True,True,False,False
